Designator,Mid X,Mid Y,Rotation,Layer
SW26,54.1688,-225.63545,0.0,top
SW27,166.0875,-120.86045,0.0,top
SW28,366.1125,-149.43545,0.0,top
SW29,89.8875,-149.43545,0.0,top
SW3,354.762,-23.795,0.0,top
SW30,261.3375,-149.43545,0.0,top
SW31,228.0,-206.58545,0.0,top
SW32,118.4625,-168.48545,0.0,top
SW33,208.95,-206.58545,0.0,top
SW34,194.6625,-168.48545,0.0,top
SW35,101.7938,-225.63545,0.0,top
SW36,51.7875,-120.86045,0.0,top
SW37,347.0625,-149.43545,0.0,top
SW38,108.9375,-149.43545,0.0,top
SW39,280.3875,-149.43545,0.0,top
SW4,339.38,-23.795,0.0,top
SW40,247.05,-206.58545,0.0,top
SW41,142.275,-187.53545,0.0,top
SW42,189.9,-206.58545,0.0,top
SW43,151.8,-206.58545,0.0,top
SW44,58.9313,-187.55545,0.0,top
SW45,56.55,-168.48545,0.0,top
SW46,347.0625,-168.48545,0.0,top
SW47,127.9875,-149.43545,0.0,top
SW48,313.725,-168.48545,0.0,top
SW49,266.1,-206.58545,0.0,top
SW5,339.849999,-192.85,270.0,top
SW50,161.325,-187.53545,0.0,top
SW51,232.7625,-168.48545,0.0,top
SW52,99.4125,-168.48545,0.0,top
SW53,244.6688,-225.63545,0.0,top
SW54,366.1125,-168.48545,0.0,top
SW55,328.0125,-225.63545,0.0,top
SW56,147.0375,-149.43545,0.0,top
SW57,270.8625,-168.48545,0.0,top
SW58,292.2938,-225.63545,0.0,top
SW59,180.375,-187.53545,0.0,top
SW6,125.389078,-88.8875,0.0,top
SW60,251.8125,-168.48545,0.0,top
SW61,113.7,-206.58545,0.0,top
SW62,89.8875,-120.86045,0.0,top
SW63,308.9625,-152.41995,0.0,top
SW64,347.0625,-206.58545,0.0,top
SW65,166.0875,-149.43545,0.0,top
SW66,289.9125,-168.48545,0.0,top
SW67,85.125,-187.53545,0.0,top
SW68,213.7125,-168.48545,0.0,top
SW69,80.3625,-168.48545,0.0,top
SW7,134.95,-88.8875,0.0,top
SW70,175.6125,-168.48545,0.0,top
SW71,108.9375,-120.86045,0.0,top
SW72,268.4813,-225.63545,0.0,top
SW73,347.0625,-225.63545,0.0,top
SW74,185.1375,-149.43545,0.0,top
SW75,256.575,-187.53545,0.0,top
SW76,170.85,-206.58545,0.0,top
SW77,199.425,-187.53545,0.0,top
SW78,137.5125,-168.48545,0.0,top
SW79,94.65,-206.58545,0.0,top
SW8,144.510516,-88.8875,0.0,top
SW80,127.9875,-120.86045,0.0,top
SW81,306.5813,-190.51995,0.0,top
SW82,366.1125,-225.63545,0.0,top
SW9,350.1,-192.85,270.0,top
U1,65.0,-89.1,180.0,top
U10,92.85,-62.21,270.0,top
U11,92.849999,-77.8,270.0,top
U12,279.775,-96.945,270.0,top
U13,238.6,-53.7,0.0,top
U14,188.71,-68.81,0.0,top
U15,238.65,-79.81,270.0,top
U16,173.82,-37.32,0.0,top
U17,212.14,-46.27,180.0,top
U18,188.6,-37.5,0.0,top
U19,324.005,-100.495,90.0,top
U2,131.38,-104.01,90.0,top
U20,312.195,-119.575,270.0,top
U21,338.929999,-82.01,270.0,top
U22,338.604999,-119.765,270.0,top
U23,275.83,-133.39,90.0,top
U24,369.6,-192.8,270.0,top
U25,240.3298,-116.7942,180.0,top
U26,190.8517,-121.5825,90.0,top
U27,192.1325,-134.2575,90.0,top
U3,131.6,-36.6,0.0,top
U4,119.3,-31.6,0.0,top
U5,140.905,-74.695,90.0,top
U6,174.03,-66.529999,180.0,top
U7,91.59,-29.22,270.0,top
U8,91.59,-44.91,270.0,top
U9,125.42,-56.69,270.0,top
Y1,78.486,-102.87,180.0,top
